Subspecies,iNat_Obs,Source,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula guillarmodi
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula hessei
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula jucunda
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula maculithorax
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula melanopus
,,NCBI,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula melanopus
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula monticola
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula ornaticeps
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula palliceps
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula rozeni
,,NCBI,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula sp. CCDB-32131-F05
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula turneri
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula variegata
,,NCBI,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula variegata
,,ITIS,Apidae,Xylocopinae,Allodapini,,Allodapula,,Allodapula xerica
,,ITIS,Megachilidae,Megachilinae,Dioxyini,,Allodioxys,,Allodioxys ammobius
,,ITIS,Megachilidae,Megachilinae,Dioxyini,,Allodioxys,,Allodioxys limbiferus
,,ITIS,Megachilidae,Megachilinae,Dioxyini,,Allodioxys,,Allodioxys moricei
,,ITIS,Megachilidae,Megachilinae,Dioxyini,,Allodioxys,,Allodioxys schulthessi
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica alvarengai
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica ameghinoi
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica antarctica
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica arrhenica
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica baeri
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica basirufa
,,NCBI,Apidae,Apinae,Eucerini,,Alloscirtetica,,Alloscirtetica basirufa
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica brethesi
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica chilena
,,NCBI,Apidae,Apinae,Eucerini,,Alloscirtetica,,Alloscirtetica chilena
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica cinerea
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica clypeata
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica corvina
,,NCBI,Apidae,Apinae,Eucerini,,Alloscirtetica,,Alloscirtetica corvina
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica danuncia
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica diplaspis
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica eophila
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica escomeli
