"Subspecies","iNat_Obs","Source","Family","Subfamily","Tribe","Subtribe","Genus","Subgenus","Species"
,4,"Sheffield&Heron","APIDAE","Apinae","Eucerini",,"Melissodes","Eumelissodes","Melissodes bimatris"
,99,"ITIS","Apidae","Apinae","Eucerini","Eucerina","Melissodes",,"Melissodes microstictus"
,99,"Sheffield&Heron","APIDAE","Apinae","Eucerini",,"Melissodes","Eumelissodes","Melissodes microstictus"
,1,"ITIS","Apidae","Apinae","Eucerini","Eucerina","Melissodes",,"Melissodes rivalis"
,1,"Sheffield&Heron","APIDAE","Apinae","Eucerini",,"Melissodes","Heliomelissodes","Melissodes rivalis"
,1,"ITIS","Apidae","Nomadinae","Biastini",,"Neopasites",,"Neopasites fulviventris"
,1,"ITIS","Apidae","Nomadinae","Nomadini",,"Nomada",,"Nomada edwardsii"
,1,"Sheffield&Heron","APIDAE","Nomadinae","Nomadini",,"Nomada",,"Nomada edwardsii"
,1,"ITIS","Apidae","Nomadinae","Nomadini",,"Nomada",,"Nomada mutans"
,1,"ITIS","Apidae","Nomadinae","Nomadini",,"Nomada",,"Nomada superba"
,1,"Sheffield&Heron","APIDAE","Nomadinae","Nomadini",,"Nomada",,"Nomada superba"
,1,"ITIS","Apidae","Nomadinae","Nomadini",,"Nomada",,"Nomada texana"
,1,"Sheffield&Heron","APIDAE","Nomadinae","Nomadini",,"Nomada",,"Nomada texana"
,2,"ITIS","Megachilidae","Megachilinae","Osmiini",,"Osmia",,"Osmia bucephala"
,2,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Osmiini",,"Osmia","Melanosmia","Osmia bucephala"
,3,"ITIS","Megachilidae","Megachilinae","Osmiini",,"Osmia",,"Osmia caerulescens"
,4,"ITIS","Megachilidae","Megachilinae","Osmiini",,"Osmia",,"Osmia coloradensis"
,4,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Osmiini",,"Osmia","Helicosmia","Osmia coloradensis"
,1,"ITIS","Megachilidae","Megachilinae","Osmiini",,"Osmia",,"Osmia cornuta"
,384,"ITIS","Megachilidae","Megachilinae","Osmiini",,"Osmia",,"Osmia lignaria"
,1,"ITIS","Andrenidae","Panurginae","Panurgini","Perditina","Perdita",,"Perdita nevadensis"
,1,"Sheffield&Heron","ANDRENIDAE","Panurginae","Perditini",,"Perdita","Pygoperdita","Perdita nevadensis"
,2,"ITIS","Andrenidae","Panurginae","Panurgini","Perditina","Perdita",,"Perdita wyomingensis"
,1,"ITIS","Halictidae","Halictinae","Halictini",,"Sphecodes",,"Sphecodes ranunculi"
,8,"ITIS","Apidae","Nomadinae","Epeolini",,"Triepeolus",,"Triepeolus paenepectoralis"
,8,"Sheffield&Heron","APIDAE","Nomadinae","Epeolini",,"Triepeolus",,"Triepeolus paenepectoralis"
